client_count,total_duration
3460,0.379438884
3470,0.461657756
3480,0.417650383
3490,0.435248711
3500,0.399925162
3510,0.404646232
3520,0.418776486
3530,0.503433011
3540,0.410749228
3550,0.395439808
3560,0.419431947
3570,0.406956016
3580,0.472388296
3590,0.420478966
3600,0.398728646
3610,0.406687031
3620,0.39891328
3630,0.418091491
3640,0.452646254
3650,0.477543693
3660,0.422080482
3670,0.41341439
3680,0.417182588
3690,0.506561231
3700,0.472112893
3710,0.401118838
3720,0.410590948
3730,0.402207857
3740,0.406528934
3750,0.453632962
3760,0.4119147
3770,0.392591556
3780,0.399310417
3790,0.411014846
3800,0.508748642
3810,0.483285841
3820,0.437937618
3830,0.453253993
3840,0.446628993
3850,0.459273645
3860,0.486652412
3870,0.411781309
3880,0.406938038
3890,0.420278149
3900,0.448158707
3910,0.415001728
3920,0.570273388
3930,0.42162535
3940,0.450064649
3950,0.468075137
3960,0.449568288
3970,0.495807164
3980,0.457770739
3990,0.459164867
4000,0.439163238
4010,0.451389629
4020,0.547216267
4030,0.490045692
4040,0.453729648
4050,0.518182543
4060,0.445800271
4070,0.486709541
4080,0.512785568
4090,0.457743379
4100,0.508249332
4110,0.440679571
4120,0.5325438
4130,0.478677228
4140,0.488776037
4150,0.468078466
4160,0.524468012
4170,0.5421912
4180,0.474444191
4190,0.516670114
4200,0.463178565
4210,0.483091859
4220,0.511441766
4230,0.455361116
4240,0.520272057
4250,0.454967849
4260,0.5535591
4270,0.513531563
4280,0.508158916
4290,0.515825835
4300,0.507375441
4310,0.527269433
4320,0.514530651
4330,0.526947507
4340,0.494689429
4350,0.455928497
4360,0.526173996
4370,0.491639655
4380,0.521418579
4390,0.509675204
4400,0.526543912
4410,0.513522071
4420,0.565823803
4430,0.534094631
4440,0.509141182
4450,0.659673186
4460,0.536879153
4470,0.536884517
4480,0.505344823
4490,0.544200406
4500,0.57367366
4510,0.53178393
4520,0.501745892
4530,0.480271373
4540,0.52747323
4550,0.559525849
4560,0.514611193
4570,0.479544644
4580,0.54698889
4590,0.558515158
4600,0.513578309
4610,0.502291252
4620,0.514416467
4630,0.542685071
4640,0.554046335
4650,0.488465172
4660,0.506028884
4670,0.499989826
4680,0.575033799
4690,0.490554158
4700,0.539699563
4710,0.557903881
4720,0.609845555
4730,0.58351503
4740,0.549217212
4750,0.549898179
4760,0.762618685
4770,0.615223131
4780,0.553823623
4790,0.633484944
4800,0.655024092
4810,0.664163023
4820,0.601050427
4830,0.573729629
4840,0.628023983
4850,0.595557703
4860,0.554875325
4870,0.578495154
4880,0.62410065
4890,0.566659329
4900,0.550649444
4910,0.568399032
4920,0.673504473
4930,0.558148195
4940,0.55705735
4950,0.606182953
4960,0.67422268
4970,0.59533842
4980,0.743434991
4990,0.584902785
5000,0.666200992
5010,0.539925183
5020,0.544069309
5030,0.587362944
5040,0.735876797
5050,0.73319814
5060,0.732827066
5070,0.664357483
5080,0.570291378
5090,0.563069895
5100,0.571054692
5110,0.698870043
5120,0.587621588
5130,0.571484802
5140,0.56860449
5150,0.617051326
5160,0.574355358
5170,0.566834446
5180,0.585151355
5190,0.658150995
5200,0.625632464
5210,0.58917744
5220,0.598928629
5230,0.634972599
5240,0.613463802
5250,0.615365056
5260,0.731363696
5270,0.612678537
5280,0.575449884
5290,0.599655244
5300,0.63667157
5310,0.637643392
5320,0.582831583
5330,0.543957481
5340,0.629880582
5350,0.632525943
5360,0.550231375
5370,0.596261729
5380,0.63679226
5390,0.636670846
5400,0.60986013
5410,0.636796741
5420,0.641940485
5430,0.643345124
5440,0.616510562
5450,0.691435267
5460,0.628232094
5470,0.606269137
5480,0.616115718
5490,0.666260607
5500,0.790098899
5510,0.641702531
5520,0.639532167
5530,0.650243787
5540,0.663828736
5550,0.700480456
5560,0.680217668
5570,0.698419576
5580,0.665300694
5590,0.730606224
5600,0.62022504
5610,0.631782738
5620,0.641650103
5630,0.691562399
5640,0.65936586
5650,0.645309406
5660,0.739154111
5670,0.642456779
5680,0.676247
5690,0.646185693
5700,0.624819636
5710,0.723704166
5720,0.683130963
5730,0.699862332
5740,0.76829131
5750,0.771666654
5760,0.780292583
5770,0.729437853
5780,0.701434554
5790,0.671543935
5800,0.694799273
5810,0.74250708
5820,0.646959449
5830,0.646043773
5840,0.667807823
5850,0.692066325
5860,0.677185102
5870,0.684505842
5880,0.722081295
5890,0.765054156
5900,0.617964874
5910,0.65529068
5920,0.742038589
5930,0.720146125
5940,0.696236997
5950,0.69200543
5960,0.71912512
5970,0.645042449
5980,0.712835796
5990,0.71533355
6000,0.688966954
6010,0.654076801
6020,0.753001852
6030,0.707348913
6040,0.685893369
6050,0.717276226
6060,0.717272246
6070,0.673922614
6080,0.694056722
6090,0.767095074
6100,0.657760194
6110,0.668375817
6120,0.764709434
6130,0.681268079
6140,0.697237888
6150,0.684565714
6160,0.742722835
6170,0.666804315
6180,0.706058911
6190,0.796568495
6200,0.672519815
6210,0.660683886
6220,0.763049293
6230,0.72799524
6240,0.667883126
6250,0.707479566
6260,0.760123704
6270,0.740308196
6280,0.684707123
6290,0.748182457
6300,0.730972966
6310,0.717810505
6320,0.772912198
6330,0.704073576
6340,0.700008086
6350,0.729914698
6360,0.736360429
6370,0.791082597
6380,0.728301588
6390,0.743703301
6400,0.715675082
6410,0.68749494
6420,0.791798692
6430,0.716809281
6440,0.75090053
6450,0.866359049
6460,0.78852961
6470,0.706349862
6480,0.780064584
6490,0.747939042
6500,0.754444508
6510,0.844406902
6520,0.773405597
6530,0.754689379
6540,0.813817614
6550,0.745574901
6560,0.714951411
6570,0.744972606
6580,0.767897965
6590,0.727541482
6600,0.73340075
6610,0.823940754
6620,0.764765599
6630,0.824857205
6640,0.774040539
6650,0.769871185
6660,0.772107392
6670,0.844235896
6680,0.719270579
6690,0.83531735
6700,0.835014676
6710,0.742851955
6720,0.865896936
6730,0.885591552
6740,0.813860384
6750,0.875004166
6760,0.905637145
6770,0.869448916
6780,0.931593659
6790,0.835899374
6800,0.86061235
6810,0.906439071
6820,0.880110032
6830,0.911523096
6840,0.909753509
6850,0.830600364
6860,0.875269674
6870,0.898974481
6880,0.810075439
6890,0.896184694
6900,0.879317667
6910,0.931718985
6920,0.879145664
6930,0.83523553
6940,0.859381336
6950,0.889924122
6960,0.908991922
6970,0.903041803
6980,0.83855326
6990,0.823495967
7000,0.974871807
7010,0.941197967
7020,0.876441673
7030,0.913669719
7040,0.852627546
7050,0.90219968
7060,0.953459579
7070,0.894508663
7080,1.049618338
7090,0.901737713
7100,0.913788155
7110,1.037518562
7120,0.849655185
7130,0.923096955
7140,0.871690563
7150,0.796613617
7160,0.83327605
7170,0.827916416
7180,0.875383754
7190,0.807066083
7200,0.809805184
7210,1.00872616
7220,0.923776806
7230,0.875499777
7240,0.870535755
7250,0.924927101
7260,0.867032919
7270,0.949746139
7280,0.822543357
7290,0.90919628
7300,0.89519449
7310,0.850427419
7320,0.966645405
7330,0.994904928
7340,0.904458019
7350,0.879891581
7360,0.848698527
7370,1.013843136
7380,0.946033682
7390,0.830922924
7400,0.880557462
7410,0.907189532
7420,0.884610966
7430,0.956132772
7440,0.858665975
7450,0.88735745
7460,0.857532337
7470,0.834696912
7480,0.926563095
7490,0.886851521
7500,0.837418398
7510,0.979790593
7520,0.833208503
7530,0.809124203
7540,0.973057457
7550,0.951797525
7560,1.097252094
7570,0.914646071
7580,0.823526968
7590,1.195260129
7600,0.88943664
7610,0.873278833
7620,0.916219919
7630,0.834963575
7640,0.858207286
7650,0.919526906
7660,0.841704136
7670,0.930207667
7680,0.900606504
7690,0.960760545
7700,1.061545994
7710,0.925873755
7720,0.937204345
7730,0.926686015
7740,0.892656566
7750,0.915533486
7760,0.862146132
7770,0.938927955
7780,0.894080103
7790,0.916096239
7800,0.931745042
7810,0.901358071
7820,1.084429329
7830,0.958707462
7840,0.922359128
7850,1.069324963
7860,0.925287304
7870,0.965805057
7880,0.957868042
7890,0.906595435
7900,0.99319999
7910,0.856231415
7920,0.858094683
7930,1.00263973
7940,0.992153893
7950,0.998112804
7960,0.920044523
7970,0.927510138
7980,0.971753267
7990,0.91760717
8000,0.932389672
8010,0.935209983
8020,0.881431779
8030,1.002507684
8040,0.915613515
8050,0.900651908
8060,0.957620041
8070,0.903014454
8080,1.050881836
8090,0.88817518
8100,0.902375793
8110,1.024653095
8120,0.941240116
8130,1.045723841
8140,0.894890945
8150,0.946670831
8160,1.039260876
8170,0.942869865
8180,1.027035834
8190,1.004274933
8200,0.975156312
8210,0.976765804
8220,0.936571582
8230,1.014268333
8240,0.965790751
8250,1.066340407
8260,0.997902808
